Channel ID, Channel Name, Link
UCcHqeJgEjy3EJTyiXANSp6g, ballacid, https://www.youtube.com/channel/UCcHqeJgEjy3EJTyiXANSp6g/
UCdQkGkWu9IOZg3OSe-YR18Q, Dub Techno TV, https://www.youtube.com/channel/UCdQkGkWu9IOZg3OSe-YR18Q/
UC2GK1jS6xrYTh4Xo9qsYSgQ, Gazzz696, https://www.youtube.com/user/Gazzz696/
UC6qQOTx9LuKMC5p2dbjmSRg, HATE, https://www.youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg/
UCwB68WQOCMqnJO2Gx3wqNzQ, Ma Gi, https://www.youtube.com/channel/UCwB68WQOCMqnJO2Gx3wqNzQ/
UCHDpIe2xSMBeNjrOcGRlZIg, Acidalia, https://www.youtube.com/channel/UCHDpIe2xSMBeNjrOcGRlZIg/
UCgSC4NFr_xwN-lBfBbLqprw, Novaj 新し, https://www.youtube.com/channel/UCgSC4NFr_xwN-lBfBbLqprw/
UCB4w8ZgPRod0Glvy9Ok7-ZA, Shall Not Fade, https://www.youtube.com/channel/UCB4w8ZgPRod0Glvy9Ok7-ZA/
UCc_QM6hYxfbS5S3l4FuFqKg, UKGARAGECLASSICS, https://www.youtube.com/user/oldskoolgarage1/
UCU5LdMvVwBC_77wtmT4rywQ, Phil Weeks, https://www.youtube.com/user/UPROCK3000/
UCWuzG2VW-zL9QwrEo9E1AOA, forthelamented, https://www.youtube.com/user/forthelamented/
UCtSYkZGP9nkvXPMQgjeEIow, YY., https://www.youtube.com/channel/UCtSYkZGP9nkvXPMQgjeEIow/
UC4w5l9jyqursG7wSEdNv3bQ, blanc, https://www.youtube.com/user/MoombaBlastaOfficial/
UCaM4FeYlEB_aEMluu6hJ2OA, LR 4991, https://www.youtube.com/user/luisslr
UCQac7ZuhVPnV7li0D-nqeAw, TheLazyLazyMe, https://www.youtube.com/channel/UCQac7ZuhVPnV7li0D-nqeAw/
UCWVPQmyC88EWXvYSNnv3Thw, Diggersdigest, https://www.youtube.com/channel/UCWVPQmyC88EWXvYSNnv3Thw
UCksDoGEyfVkWgbhxSUGuhrg, Beats Incidental, https://www.youtube.com/channel/UCksDoGEyfVkWgbhxSUGuhrg
UCAMuwfmjImYPY2Xq_PACrvQ, Adventures In Sound, https://www.youtube.com/channel/UCAMuwfmjImYPY2Xq_PACrvQ
UC8sdN6rOzGrCHDIDHTK_2KA, Vinyl Frontier Plus, https://www.youtube.com/channel/UC8sdN6rOzGrCHDIDHTK_2KA
UCKMcwyZqQO3jcEF1BymFDMw, Vinyl Frontier East II, https://www.youtube.com/channel/UCKMcwyZqQO3jcEF1BymFDMw
UCpUaVaLffIuWGnxvDpapbrQ, Sonne Immage, https://www.youtube.com/channel/UCpUaVaLffIuWGnxvDpapbrQ
UCG9inuDQ1ROLufVWNmItj_g, Ricardo Maraña, https://www.youtube.com/channel/UCG9inuDQ1ROLufVWNmItj_g
UCIjnLUhH5XoZntlNfqsL8Uw, FRENCH VORTEX, https://www.youtube.com/channel/UCIjnLUhH5XoZntlNfqsL8Uw
UCLue5AhDOIpePYzlc3rOVVQ, Jazz and Blues Experience, https://www.youtube.com/channel/UCLue5AhDOIpePYzlc3rOVVQ
UCQXiwCm4YibWKEjprYY0qSA, Suha Önder, https://www.youtube.com/channel/UCQXiwCm4YibWKEjprYY0qSA
UCCnJJkJ2Q8l3enlfVI0fzuQ, Οράτιος Ρεξ, https://www.youtube.com/channel/UCCnJJkJ2Q8l3enlfVI0fzuQ
UCCp5_UFgkFvbMTOHfWQnJLQ, Machine Funk Savantage, https://www.youtube.com/channel/UCCp5_UFgkFvbMTOHfWQnJLQ
UCLXM6lFu1s7MjInzUk5bfNA, HATE LAB, https://www.youtube.com/channel/UCLXM6lFu1s7MjInzUk5bfNA
UCF_n4-_H6XtIcTPhrSGw5aQ, A R T S, https://www.youtube.com/channel/UCF_n4-_H6XtIcTPhrSGw5aQ
UCoahy6GKbGsJ5q6pzBPPMKg, Planet Rhythm, https://www.youtube.com/channel/UCoahy6GKbGsJ5q6pzBPPMKg
UCPkgp7lzgNnDMvMvJeLTFAQ, Prisoneer, https://www.youtube.com/channel/UCPkgp7lzgNnDMvMvJeLTFAQ
UCQT-h--PG_pq2H5BsAF0GDA, 7296272962, https://www.youtube.com/channel/UCQT-h--PG_pq2H5BsAF0GDA
UC58C_BhzlZIJTeomuVSD2lA, Houseum, https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA
UC1SD4ZfETUt_4903kwxaI3w, EELF, https://www.youtube.com/channel/UC1SD4ZfETUt_4903kwxaI3w
UC_9j-jI_P6heeJpQRvz0eOw, CMYK, https://www.youtube.com/channel/UC_9j-jI_P6heeJpQRvz0eOw
UCqTwKvjbTENZDGbz2si47ag, GRM Daily, https://www.youtube.com/channel/UCqTwKvjbTENZDGbz2si47ag
UCzeR0_RWnpNHe6y4DTLwE5Q, hurfyd, https://www.youtube.com/channel/UCzeR0_RWnpNHe6y4DTLwE5Q
UCRC_XCHOdP2BB4kr9Jj_Jqg, HOUSEWARMING, https://www.youtube.com/channel/UCRC_XCHOdP2BB4kr9Jj_Jqg
UCY2mgHbe4QiYjLHrtF5FMYQ, OOUKFunkyOO, https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ
UCWJ0h-sGerHCxjAo2vRtkbg, 030esar0303, https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg
UC5rXILumTV11fEeq7nxWgOA, Moskalus, https://www.youtube.com/channel/UC5rXILumTV11fEeq7nxWgOA
UC8MLS5X0vWxxa5nyJxfSA1A, Slav, https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A
UCXG_MHlRfXWHYN_qlBXKxdA, RJJNY, https://www.youtube.com/channel/UCXG_MHlRfXWHYN_qlBXKxdA
UCMi36QfpbMgzThfXCr8c2JQ, LeftUnderSounds, https://www.youtube.com/channel/UCMi36QfpbMgzThfXCr8c2JQ
UC056lRq6KmKi6VTHAzkjNEw, GarageVybez98, https://www.youtube.com/channel/UC056lRq6KmKi6VTHAzkjNEw
UCnINrzzKgeWkJm1p1QRaZJQ, DeepBeliever, https://www.youtube.com/channel/UCnINrzzKgeWkJm1p1QRaZJQ
UCeGkyYcYtT3Wl2Hucv9AORg, Stamp The Wax, https://www.youtube.com/channel/UCeGkyYcYtT3Wl2Hucv9AORg
UC1LPXQWsacu9OLwyiwydjRA, dUbTech81, https://www.youtube.com/channel/UC1LPXQWsacu9OLwyiwydjRA
UC0pvNce3GJtFC4keSAfIDUw, Trip Hop Universe, https://www.youtube.com/channel/UC0pvNce3GJtFC4keSAfIDUw
UCimcCVMoypaRUB4yd7y9ksA, Seventies Rock, https://www.youtube.com/channel/UCimcCVMoypaRUB4yd7y9ksA
UC6kKFg61ww3nbYdPRrD_v5Q, thehouseofdisco, https://www.youtube.com/channel/thehouseofdisco
UCtS5tJgHxDZm5yKtluPmkLw, Rare Soul Disco Funk, https://www.youtube.com/channel/UCtS5tJgHxDZm5yKtluPmkLw
UCSJ4gkVC6NrvII8umztf0Ow, ChilledCow, https://www.youtube.com/channel/UCSJ4gkVC6NrvII8umztf0Ow
UCcfZ9dhNM8qfc9l8tN7RfCA, Max Chillsound, https://www.youtube.com/user/MaxChillsound
UCjyiHWU_MCr5eus7_2GnZsA, CLUB TOOLS, https://www.youtube.com/c/clubtoolstv
UCe04sGkV-VFBg02v8g8HlgQ, Feelthesame, https://www.youtube.com/channel/UCe04sGkV-VFBg02v8g8HlgQ
UCrtehfMvzwT2W8X2oc9sHSw, QeTi jiniuzashvili, https://www.youtube.com/c/qetijiniuzashvili/
UCsIzfsOcObtsEXOwtsFlcFA, Pierre B II, https://www.youtube.com/c/PierreBII
UCQ_Nz_29LsBNq2f-Ep9xjrw, EarlERizer73, https://www.youtube.com/user/EarlERizer73
UChS0SPpEqGMGRim7mebedPg, TheIDMMaster, https://www.youtube.com/user/TheIDMMaster
UCpZ-mzc7Puo1MNaqMPnmyrQ, SoundtracksForLiving, https://www.youtube.com/user/SoundtracksForLiving
UCJVsIjRBHVgq3Ay2zWUrbkw, Dar shan, https://www.youtube.com/user/19Darshan63
UCjDlFmwSSVZ5tCQYiR4BTqg, SleepyPebbles, https://www.youtube.com/user/SleepyPebbles
UCrZPMSrn-JchqjHAnz18kzg, Geigercounterculture, https://www.youtube.com/user/Geigercounterculture/
UCGwvH2aG1CWrOgrXz3H1LZg, Frobbz, https://www.youtube.com/user/Frobbz
UC06Du1NKTOjAOgeE4zhqGWg, Full Color Emotion, https://www.youtube.com/user/FullColorEmotion
UCEmUS_NA5VscpCEqPx6izVQ, drillobite, https://www.youtube.com/user/drillobite
UCZBEQmstIJUHVgR_pT_rz7g, dolfijnmetans, https://www.youtube.com/channel/UCZBEQmstIJUHVgR_pT_rz7g
UC6DjQc-CAGIrELvR8qeZgBQ, EyeCatchDreams, https://www.youtube.com/channel/UC6DjQc-CAGIrELvR8qeZgBQ
UCpBfpE80OUMfYT96mu7sK9w, 0The0Web0, https://www.youtube.com/user/0The0Web0
UCZtYVEmKI1a_o6Max1GH4vw, PatVforMatt2, https://www.youtube.com/channel/UCZtYVEmKI1a_o6Max1GH4vw
UCcCB2eXswB18VgHzdvQvjmA, honetrix, https://www.youtube.com/channel/UCcCB2eXswB18VgHzdvQvjmA
UCHhIEbvKbTsZYgs_NDSEQAw, SPAST, https://www.youtube.com/user/sikkkwill
UC6vVYzf2rc19Hb3FEJaks3A, MiaLunaSun9, https://www.youtube.com/user/bagirapuma9
UCNcw9AX5VgDXzC9THXdwskQ, Febrismusic, https://www.youtube.com/user/Febrismusic
UCOgIYdNEINxkyyKtseIVezg, TraumUTube, https://www.youtube.com/channel/UCOgIYdNEINxkyyKtseIVezg
UCcnaoOb1BA3oNl0MrGW9CaQ, truthfilter, https://www.youtube.com/user/truthfilter
UC5fN-mmgElKGyoydNeUy8Ww, TranceDivine, https://www.youtube.com/user/TranceDivine1
UC17fNSOxkFBO3u_1tXxTFaw, TranceDivine2, https://www.youtube.com/user/TranceDivine2/
UCJ1SMsC92yqZVDFRcTqblJg, IDM & Electronica Station, https://www.youtube.com/channel/UCJ1SMsC92yqZVDFRcTqblJg
UCcS-Gz7tDZmJbsi5M-DLsQw, Crucial Brew, https://www.youtube.com/user/crucialbr3w/
UCMmt12UKW571UWtJAgWkWqg, NiceGuys, https://www.youtube.com/c/NiceGuys/
UC4bDPscqf6-vQoDI4YMlslg, alona chemerys, https://www.youtube.com/channel/UC4bDPscqf6-vQoDI4YMlslg
UC1wW7oUo-JtBlu8I_F9inGw, Røzco, https://www.youtube.com/c/R%C3%B8zco/
UCU3htIGQQ8vRjiL6EtJuUhQ, Good Drugs Subs, https://www.youtube.com/channel/UCU3htIGQQ8vRjiL6EtJuUhQ
UCEEPiynPlMVsfNVIfaQROGA, Sound Of Rain, https://www.youtube.com/c/SoundOfRain
UCI2UnLDU1Hb_ofnqK4U4p5w, Lalo Vega, https://www.youtube.com/c/LaloVega98
UCsQ4Z-C2Ym1SndpDSWIxMOw, Psychogave, https://www.youtube.com/channel/UCsQ4Z-C2Ym1SndpDSWIxMOw
UCmfWl-4D2W9xdlHBlvY6t0w, The Worst Taste, https://www.youtube.com/channel/UCmfWl-4D2W9xdlHBlvY6t0w
UCxyXmU3VcCPAJ56nhoOuPiw, i'm cyborg but that's ok, https://www.youtube.com/channel/UCxyXmU3VcCPAJ56nhoOuPiw
UCNYJOAz1J80HEJy2HSM772Q, David Dean Burkhart, https://www.youtube.com/c/daviddeanburkhart
UCDvjHDtA4Bjh5bSLuK4xd6Q, 6277MISSION, https://www.youtube.com/channel/UCDvjHDtA4Bjh5bSLuK4xd6Q
UCk072btKtnXByWpOBYZqz6g, robophreeq, https://www.youtube.com/user/robophreeq
UCsY8V06gM2lemsvtZXGA9oA, J.M. Urda, https://www.youtube.com/user/breakito01
UC2KZDO3Sc_BwzCtUJtVXutg, ClassicTranceTV, https://www.youtube.com/user/ClassicTranceTV
UChraBkx9O8mHICQsDztck1Q, clubb guide, https://www.youtube.com/user/clubbguide/
UCMlHf6251NKQM-qkS2pgYQg, Mixtape Madness, https://www.youtube.com/c/MixtapeMadnessOfficial/
UCeuDuFPY8SvefNaZNX5XjaA, sub art, https://www.youtube.com/channel/UCeuDuFPY8SvefNaZNX5XjaA
UC0MbImAZ5VBy0CKANa17Rrg, 0000, https://www.youtube.com/c/0000XXXX0000
UCx7lBbG_m00RhxkFPg6eCLA, doptee, https://www.youtube.com/user/doptee
UCBISV5-8_ZST4bXA10uFVDg, GERMSGEMS, https://www.youtube.com/user/thegermnyc
UCKlBuUoUvWsdBiZXKCrU1xw, Rok Torkar, https://www.youtube.com/c/RokTorkar
UC9pQGeWEtbZr9kN-x066GgA, Kånde, https://www.youtube.com/c/XCANDE90X
UCEGGlz4fRMgBKrHd8xEsx1w, Habib, https://www.youtube.com/channel/UCEGGlz4fRMgBKrHd8xEsx1w/
UCW0cy1e_gx-fDcrLOtrZZxA, Axy Tmt, https://www.youtube.com/c/AxyTmt/
UCgrhHLJolFoe1OcdC5CGJMA, Chineurs de Techno, https://www.youtube.com/channel/UCgrhHLJolFoe1OcdC5CGJMA
UCsJyGt7k004-xgygG-uvR-g, Vincent Glandier, https://www.youtube.com/c/VincentGlandier
UCEjshz9bKWUtj77arYBv-VA, clément fronty, https://www.youtube.com/user/muppetshowman1972
UCClNKBLApNGTArvakWNsUfg, 101 Underworld, https://www.youtube.com/channel/UCClNKBLApNGTArvakWNsUfg
UCUSPH93ilnNTD46i5fx2AyQ, AD 93, https://www.youtube.com/user/WHITIESMUSIC
UCLZy_T3ANcdPTRb0pDv93ZA, Amsterdam Techno, https://www.youtube.com/c/AmsterdamTechno/
UCplkjNuLf7CoyVRIwIT1Pqw, Awesome Tapes From Africa, https://www.youtube.com/channel/UCplkjNuLf7CoyVRIwIT1Pqw
UCFAKGci5lneha2x4XMbzYrQ, La Blogothèque, https://www.youtube.com/channel/UCFAKGci5lneha2x4XMbzYrQ
UC2Qw1dzXDBAZPwS7zm37g8g, COLORS, https://www.youtube.com/c/COLORSxstudios
UC-ZcxqgtvP2gQOHYPWDv9Ow, Actuation, https://www.youtube.com/channel/UC-ZcxqgtvP2gQOHYPWDv9Ow
UCLySvQ5KnssdJVpbi5skvQw, VSVN, https://www.youtube.com/channel/UCLySvQ5KnssdJVpbi5skvQw
UCsIg9WMfxjZZvwROleiVsQg, STEEZYASFUCK, https://www.youtube.com/channel/UCsIg9WMfxjZZvwROleiVsQg
UCaXXVrECQR86Rmyel67KKVA, DayOff, https://www.youtube.com/channel/UCaXXVrECQR86Rmyel67KKVA
UCDo_VHBvW6g6esvbRLyqr8A, DEE DUBZ, https://www.youtube.com/channel/UCDo_VHBvW6g6esvbRLyqr8A
UCBote-U6HFHJV1UwLD3G5rw, Listen Closely, https://www.youtube.com/channel/UCBote-U6HFHJV1UwLD3G5rw
UCkasbZNUCa2dwKGIyXWGhyw, Funky Monk, https://www.youtube.com/channel/UCkasbZNUCa2dwKGIyXWGhyw
UCAvfQ9ssrgf8elsXrSIOqRQ, MsRunningBack, https://www.youtube.com/channel/UCAvfQ9ssrgf8elsXrSIOqRQ
UCFZ75Bg73NJnJgmeUX9l62g, Selected., https://www.youtube.com/channel/UCFZ75Bg73NJnJgmeUX9l62g
UCLZnh2NuZD1zjPOEtHzI31g, statenhal, https://www.youtube.com/c/statenhal
UCyYAmeuG2EgoUMl9r3mmqKA, Bio Rythms, https://www.youtube.com/channel/UCyYAmeuG2EgoUMl9r3mmqKA
UCG3ktrs1qhFKLI76vC9tAqQ, spclnch, https://www.youtube.com/channel/UCG3ktrs1qhFKLI76vC9tAqQ
UCFBRJGecMQ--usXYgvakhmg, KillerRareGroovez, https://www.youtube.com/channel/UCFBRJGecMQ--usXYgvakhmg
UCCvLAIV-G3wcIncbd3c353w, The Right Feel, https://www.youtube.com/channel/UCCvLAIV-G3wcIncbd3c353w
UCZNyqn4nRF0VP7vzGdFv2_Q, THYMES, https://www.youtube.com/channel/UCZNyqn4nRF0VP7vzGdFv2_Q
UC13qnQOO1_U8cc2YAHzuptw, Sakiz, https://www.youtube.com/user/thanacic46
UC5OkJxOnxn_AycmVGdysP_g, Sandfield, https://www.youtube.com/channel/UC5OkJxOnxn_AycmVGdysP_g
UC3ASRahHy8zpF1PJZS3hOpw, miNIMMAl movement, https://www.youtube.com/user/Jensiebo
UCGxYxFFsENVa3y3L3kkQ4QA, Trommel Music, https://www.youtube.com/c/TrommelMusic
UCPZUQqtVDmcjm4NY5FkzqLA, Rousseau, https://www.youtube.com/c/Rousseau
UCs7O9sOUQiBGBxaaAguIwig, Patrik Pietschmann, https://www.youtube.com/channel/UCs7O9sOUQiBGBxaaAguIwig
UCXDFQexmA_BUAdxXhSUNGIw, Jova Musique, https://www.youtube.com/c/JovaMusique
UCWof6ceeDX5i4aBZXhS2Jnw, Hi I'm Ben., https://www.youtube.com/user/skipsch
UCEkBEbI7ME92qqjMjqvuIQA, Psybrations, https://www.youtube.com/channel/UCEkBEbI7ME92qqjMjqvuIQA
UC68n0uVQq9Hv8FeJ6r-7RQA, BassAddicted, https://www.youtube.com/c/BassAddictedMusic
UCbiZfxvkjBZi9_i7k8sxMXg, Dream Chimney, https://www.youtube.com/channel/UCbiZfxvkjBZi9_i7k8sxMXg
UCw6diXXcmFX7nroE2gXgF0g, joaquinnieto misummergrooves, https://www.youtube.com/channel/UCw6diXXcmFX7nroE2gXgF0g
UC1ArEhP8x9TSrCTB5loeylg, semjon., https://www.youtube.com/channel/UC1ArEhP8x9TSrCTB5loeylg
UCXxQOObR131Xj_e2GJpDKlA, DeepHouseification, https://www.youtube.com/channel/UCXxQOObR131Xj_e2GJpDKlA
UCpNMmKsSq_XRpWPyPrv1Ddg, UNDERGROUND CLASSICS HOUSE, https://www.youtube.com/channel/UCpNMmKsSq_XRpWPyPrv1Ddg
UCwdUbwas6dAP-Qqojf6Hgmw, House Sanctuary, https://www.youtube.com/channel/UCwdUbwas6dAP-Qqojf6Hgmw
UCBod7M_EX2QsgsrV9ZA6J7g, Old Skool Rewind Official, https://www.youtube.com/c/OldSkoolRewindOfficial
UCK_lWK0-T45ionQI2Z2IhHg, sweetbabyjaysus, https://www.youtube.com/user/sweetbabyjaysus
UCfmzrjwSMcvYp9zsdt0m8UA, TinnitusGehoerschade, https://www.youtube.com/channel/UCfmzrjwSMcvYp9zsdt0m8UA
UCJIZa_10UirVn76exaJCDxQ, Floating Station, https://www.youtube.com/channel/UCJIZa_10UirVn76exaJCDxQ
UCW6Zc3v5s98ULqXsjYhdomg, DjBeatmaster207, https://www.youtube.com/channel/UCW6Zc3v5s98ULqXsjYhdomg
UCGkzJmg31dgczktvAikK7Qg, Free is in Da House, https://www.youtube.com/user/FreeisinDaHouseAgain
UCUUT3oVa1962KAEUaQFZssA, Abstructure, https://www.youtube.com/channel/UCUUT3oVa1962KAEUaQFZssA
UCL6upWF6fchig2V4PnPhQuQ, Underground Sounds M, https://www.youtube.com/channel/UCL6upWF6fchig2V4PnPhQuQ
UCRRFqibX5ug-opYWTSTuk5A, Dubstep Classics, https://www.youtube.com/channel/UCRRFqibX5ug-opYWTSTuk5A
UCukVH2Rk4os9rDaU3skW63w, BlueDollarBillz, https://www.youtube.com/channel/UCukVH2Rk4os9rDaU3skW63w
UCByc6t1_4qS1GA7Y-5bLEzg, The W.A.P Station, https://www.youtube.com/channel/UCByc6t1_4qS1GA7Y-5bLEzg
UCN0tf4JrpZDPDlg2l9DusRg, Backintday, https://www.youtube.com/channel/UCN0tf4JrpZDPDlg2l9DusRg
UCb6aXYwANo9ErAF4be73jbA, HouseMaster, https://www.youtube.com/channel/UCb6aXYwANo9ErAF4be73jbA
UC6APkFufZN811VasxTvxvYg, Retro Trance Addict Belgium, https://www.youtube.com/channel/UC6APkFufZN811VasxTvxvYg
UC54aKpWtaxvZQK7KHg34Btw, Cristian M., https://www.youtube.com/channel/UC54aKpWtaxvZQK7KHg34Btw
UCLSsG4tdHcD5EpT9FvQnW9g, Seed, https://www.youtube.com/channel/UCLSsG4tdHcD5EpT9FvQnW9g
